x,y
-288.8403006340959,-746.6974524408579
-288.3413937728355,-746.7293574372945
-287.8422420690432,-746.7569864293553
-287.34309036525093,-746.784615421416
-286.8433055779774,-746.7708064933433
-286.34352079070385,-746.7569975652707
-285.84567836092407,-746.7106186512625
-285.3478359311443,-746.6642397372543
-284.85695762520834,-746.5691850163765
-284.3660793192724,-746.4741302954988
-283.88254016585665,-746.3469261382779
-283.3990010124409,-746.2197219810571
-282.9303329817571,-746.0455098208232
-282.46166495107326,-745.8712976605893
-282.00552464166464,-745.666557507558
-281.549384332256,-745.4618173545266
-281.1156372071086,-745.2131275468909
-280.68189008196117,-744.9644377392551
-280.24814295681375,-744.7157479316194
-279.84220734703035,-744.423836793491
-279.4579001997992,-744.1039810476493
-279.07359305256807,-743.7841253018076
-278.68928590533693,-743.464269555966
-278.33605666399234,-743.1103949645872
-278.00967843640535,-742.7316147212376
-277.68330020881837,-742.3528344778881
-277.3569219812314,-741.9740542345386
-277.0657462484614,-741.5675896969772
-276.7745705156914,-741.1611251594157
-276.5274465865996,-740.7264687672227
-276.2803226575078,-740.2918123750297
-276.0624761586613,-739.841768826154
-275.8446296598148,-739.3917252772782
-275.6834275468217,-738.918429646055
-275.52222543382857,-738.4451340148318
-275.40396636248386,-737.9593270760295
-275.28570729113915,-737.4735201372272
-275.22373972409423,-736.9773794383071
-275.1617721570493,-736.4812387393871
-275.13430339487877,-735.9819966128078
-275.1068346327082,-735.4827544862286
-275.09261960468393,-734.9829592023822
-275.07840457665964,-734.4831639185358
-275.0653834482956,-733.9833364180841
-275.0523623199316,-733.4835089176325
-275.039901746849,-732.98366676898
-275.0274411737664,-732.4838246203275
-275.01517006777186,-731.9839768423168
-275.0039543318562,-731.5271182120778
-275.0057048718606,-731.0271226478325
-275.00745541186495,-730.5271270835872
-275.0053727072581,-730.0271315381455
-275.0032900026513,-729.5271359927037
-275.00120729804445,-729.027140447262
-274.9991245934376,-728.5271449018203
-274.9970418888308,-728.0271493563786
-274.9936582014495,-727.5271612552409
-274.9902745140682,-727.0271731541033
-274.9868908266869,-726.5271850529656
-274.9835071393056,-726.0271969518279
-274.98012345192427,-725.5272088506903
-274.97673976454297,-725.0272207495526
-274.97335607716167,-724.527232648415
-274.97700052781494,-724.027251418162
-274.9806449784682,-723.527270187909
-274.9842894291215,-723.0272889576561
-274.98793387977474,-722.5273077274031
-274.991578330428,-722.0273264971502
-274.9952227810813,-721.5273452668972
-274.99886723173455,-721.0273640366443
-275.0025116823878,-720.5273828063913
-275.00169093876997,-720.0273845268463
-275.0008701951521,-719.5273862473013
-275.00004945153427,-719.0273879677562
-274.9992287079164,-718.5273896882112
-274.99840796429856,-718.0273914086662
-274.9975872206807,-717.5273931291212
-274.99676647706286,-717.0273948495761
-274.995945733445,-716.5273965700311
-274.99637108730917,-716.027397298957
-274.99679644117333,-715.5273980278829
-274.9972217950375,-715.0273987568088
-274.99764714890165,-714.5273994857347
-274.9980725027658,-714.0274002146606
-274.99849785662997,-713.5274009435865
-274.9989232104941,-713.0274016725124
-274.9999347176359,-712.5274047689667
-275.00094622477764,-712.027407865421
-275.0019577319194,-711.5274109618753
-275.00296923906114,-711.0274140583296
-275.0039807462029,-710.5274171547838
-275.00499225334465,-710.0274202512381
-275.0060037604864,-709.5274233476924
-275.00701526762816,-709.0274264441467
-275.0105367038421,-708.527445332496
-275.014058140056,-708.0274642208452
-275.01757957626995,-707.5274831091945
-275.0211010124839,-707.0275019975437
-275.0246224486978,-706.527520885893
-275.02814388491174,-706.0275397742422
-275.0316653211257,-705.5275586625914
-275.0351867573396,-705.0275775509407
-275.03870819355353,-704.5275964392899
-275.037601527147,-704.0276031577723
-275.03649486074045,-703.5276098762547
-275.0353881943339,-703.0276165947371
-275.03428152792736,-702.5276233132195
-275.0331748615208,-702.0276300317018
-275.0320681951143,-701.5276367501842
-275.03096152870773,-701.0276434686666
-275.0298548623012,-700.527650187149
-275.02874819589465,-700.0276569056314
-275.0276415294881,-699.5276636241138
-275.0295209418222,-699.0276769366644
-275.03140035415635,-698.5276902492151
-275.03327976649047,-698.0277035617657
-275.0351591788246,-697.5277168743164
-275.0370385911587,-697.0277301868671
-275.0389180034928,-696.5277434994177
-275.04079741582694,-696.0277568119684
-275.04267682816106,-695.5277701245191
-275.0445562404952,-695.0277834370697
-275.0464356528293,-694.5277967496204
-275.0480080020606,-694.027815513235
-275.0495803512919,-693.5278342768497
-275.05115270052323,-693.0278530404644
-275.05272504975454,-692.527871804079
-275.05429739898585,-692.0278905676937
-275.05586974821716,-691.5279093313084
-275.0574420974485,-691.027928094923
-275.0590144466798,-690.5279468585377
-275.0605867959111,-690.0279656221524
-275.06307238021463,-689.5280054730215
-275.0655579645182,-689.0280453238906
-275.0680435488217,-688.5280851747598
-275.07052913312526,-688.0281250256289
-275.0730147174288,-687.5281648764981
-275.07550030173235,-687.0282047273672
-275.0779858860359,-686.5282445782364
-275.08047147033943,-686.0282844291055
-275.082957054643,-685.5283242799746
-275.0854426389465,-685.0283641308438
-275.088515892671,-684.5284083451277
-275.0915891463955,-684.0284525594116
-275.09466240012,-683.5284967736955
-275.0977356538445,-683.0285409879793
-275.100808907569,-682.5285852022632
-275.1038821612935,-682.0286294165471
-275.106955415018,-681.528673630831
-275.1123461829664,-681.0287387879243
-275.11773695091483,-680.5288039450177
-275.12312771886326,-680.028869102111
-275.1285184868117,-679.5289342592043
-275.1339092547601,-679.0289994162977
-275.13930002270854,-678.529064573391
-275.14469079065697,-678.0291297304843
-275.1500815586054,-677.5291948875777
-275.15727475226237,-677.0292659323887
-275.16446794591934,-676.5293369771998
-275.1716611395763,-676.0294080220109
-275.1788543332333,-675.529479066822
-275.18604752689026,-675.0295501116331
-275.19324072054724,-674.5296211564441
-275.2004339142042,-674.0296922012552
-275.21293693641763,-673.5298657434726
-275.22543995863106,-673.0300392856899
-275.2379429808445,-672.5302128279072
-275.2504460030579,-672.0303863701246
-275.2629490252713,-671.5305599123419
-275.27545204748475,-671.0307334545593
-275.28795506969817,-670.5309069967766
-275.31427728302083,-670.0316095540222
-275.3405994963435,-669.5323121112679
-275.36692170966614,-669.0330146685135
-275.3932439229888,-668.5337172257591
-275.41956613631146,-668.0344197830048
-275.4458883496341,-667.5351223402504
-275.4722105629568,-667.035824897496
-275.49853277627943,-666.5365274547416
-275.5248549896021,-666.0372300119873
-275.55117720292475,-665.5379325692329
-275.5774994162474,-665.0386351264785
-275.60382162957006,-664.5393376837242
-275.6301438428927,-664.0400402409698
-275.6717888826747,-663.5417799856534
-275.7134339224567,-663.043519730337
-275.7550789622387,-662.5452594750207
-275.7967240020207,-662.0469992197043
-275.8383690418027,-661.5487389643879
-275.8800140815847,-661.0504787090715
-275.9216591213667,-660.5522184537551
-275.9633041611487,-660.0539581984387
-276.0562935572053,-659.562692272455
-276.14928295326195,-659.0714263464713
-276.24227234931857,-658.5801604204876
-276.3352617453752,-658.0888944945038
-276.4282511414318,-657.5976285685201
-276.52124053748844,-657.1063626425364
-276.61422993354506,-656.6150967165527
-276.7072193296017,-656.123830790569
-276.8002087256583,-655.6325648645852
-276.89319812171493,-655.1412989386015
-276.98618751777155,-654.6500330126178
-277.0791769138282,-654.158767086634
-277.1721663098848,-653.6675011606503
-277.306864472112,-653.1860175962248
-277.4415626343392,-652.7045340317993
-277.57626079656643,-652.2230504673738
-277.71095895879364,-651.7415669029483
-277.84565712102085,-651.2600833385228
-277.98035528324806,-650.7785997740973
-278.11505344547527,-650.2971162096718
-278.281136046547,-649.8255317908887
-278.4472186476187,-649.3539473721056
-278.6207492256265,-648.8850440634022
-278.79427980363437,-648.4161407546989
-278.9678103816422,-647.9472374459955
-279.14134095965005,-647.4783341372921
-279.3148715376579,-647.0094308285887
-279.48840211566574,-646.5405275198854
-279.6789826194963,-646.0782951628522
-279.8695631233269,-645.6160628058191
-280.06014362715746,-645.1538304487859
-280.25072413098803,-644.6915980917528
-280.4413046348186,-644.2293657347196
-280.6318851386492,-643.7671333776865
-280.82246564247976,-643.3049010206533
-281.02660406994033,-642.8484879647945
-281.2307424974009,-642.3920749089356
-281.4348809248615,-641.9356618530767
-281.63901935232207,-641.4792487972178
-281.84315777978264,-641.0228357413589
-282.0472962072432,-640.5664226855
-282.2556595361048,-640.1119076160359
-282.4640228649664,-639.6573925465717
-282.672386193828,-639.2028774771076
-282.8807495226896,-638.7483624076434
-283.0891128515512,-638.2938473381793
-283.2974761804128,-637.8393322687151
-283.5058395092744,-637.384817199251
-283.7132761287358,-636.9298798748491
-283.9207127481972,-636.4749425504473
