time,x,y,yaw,speed,steer,signed_cte
1784809168.625,-132.696518,-430.510681,66.184,0.000,-0.05011,-2.40092
1784809168.733,-132.696457,-430.510559,66.184,0.020,-0.10516,-2.40078
1784809168.839,-132.695587,-430.508545,66.179,0.132,-0.10509,-2.39859
1784809168.941,-132.692917,-430.502777,66.169,0.280,-0.10498,-2.39223
1784809169.047,-132.688248,-430.492920,66.154,0.458,-0.10483,-2.38132
1784809169.155,-132.681366,-430.478394,66.134,0.606,-0.10462,-2.36525
1784809169.260,-132.672760,-430.460297,66.108,0.753,-0.10438,-2.34521
1784809169.367,-132.661957,-430.437531,66.077,0.929,-0.10409,-2.32001
1784809169.473,-132.649429,-430.411224,66.041,1.076,-0.10375,-2.29088
1784809169.578,-132.634705,-430.380341,65.999,1.223,-0.10335,-2.25667
1784809169.686,-132.617828,-430.345093,65.951,1.398,-0.10160,-2.21759
1784809169.791,-132.599304,-430.306396,65.899,1.545,-0.10111,-2.17470
1784809169.894,-132.579391,-430.264984,65.845,1.689,-0.10062,-2.12875
1784809170.007,-132.555603,-430.215576,65.781,1.862,-0.10003,-2.07392
1784809170.114,-132.530701,-430.164124,65.714,2.006,-0.09938,-2.01677
1784809170.219,-132.504181,-430.109558,65.644,2.150,-0.09866,-1.95612
1784809170.325,-132.474869,-430.049408,65.567,2.404,-0.09786,-1.88923
1784809170.435,-132.441132,-429.980469,65.479,2.741,-0.09565,-1.81250
1784809170.538,-132.403641,-429.904236,65.382,3.202,-0.09457,-1.72759
1784809170.647,-132.356293,-429.808533,65.263,3.832,-0.09320,-1.62088
1784809170.751,-132.303848,-429.703247,65.136,4.358,-0.09045,-1.50335
1784809170.857,-132.242935,-429.581604,64.991,4.884,-0.08865,-1.36745
1784809170.964,-132.173752,-429.444275,64.833,5.409,-0.08546,-1.21390
1784809171.072,-132.096298,-429.291504,64.660,6.039,-0.08313,-1.04296
1784809171.175,-132.014618,-429.131470,64.484,6.563,-0.08055,-0.86384
1784809171.284,-131.919250,-428.945892,64.287,7.087,-0.07653,-0.65629
1784809171.389,-131.820023,-428.754364,64.090,7.717,-0.07315,-0.44292
1784809171.494,-131.712662,-428.548737,63.887,8.242,-0.06863,-0.21891
1784809171.603,-131.592773,-428.320862,63.673,8.768,-0.06414,-0.08022
1784809171.714,-131.461945,-428.074280,63.454,9.401,-0.05828,-0.07656
1784809171.816,-131.332520,-427.832153,63.253,9.928,-0.05273,-0.07380
1784809171.924,-131.186478,-427.561127,63.049,10.455,-0.04701,-0.07173
1784809172.031,-131.034241,-427.280823,62.858,11.085,-0.04154,-0.07065
1784809172.137,-130.874481,-426.988953,62.680,11.610,-0.03621,-0.07061
1784809172.244,-130.701813,-426.675781,62.510,12.135,-0.03096,-0.07166
1784809172.354,-130.522003,-426.351624,62.357,12.764,-0.02592,-0.07324
1784809172.460,-130.336487,-426.018921,62.222,13.286,-0.02126,-0.07447
1784809172.569,-130.134415,-425.658112,62.099,13.913,-0.01722,-0.07513
1784809172.675,-129.931549,-425.297394,61.997,14.434,-0.01382,-0.07601
1784809172.780,-129.719803,-424.922211,61.911,14.955,-0.01086,-0.07757
1784809172.885,-129.500046,-424.534058,61.840,15.475,-0.00760,-0.07979
