time,x,y,yaw,speed,steer,signed_cte
1784779180.427,-130.426804,-426.264191,62.834,0.000,0.00127,-0.11438
1784779180.597,-130.426758,-426.264099,62.834,0.016,0.00129,-0.11437
1784779180.699,-130.426453,-426.263458,62.833,0.076,0.00134,-0.11433
1784779180.846,-130.423096,-426.257141,62.830,0.376,0.00159,-0.11421
1784779180.957,-130.419098,-426.249756,62.829,0.614,-0.00665,-0.11413
1784779181.104,-130.404358,-426.222534,62.827,1.228,-0.01314,-0.11384
1784779181.271,-130.379562,-426.176727,62.823,1.869,-0.02282,-0.11335
1784779181.373,-130.363342,-426.146851,62.818,2.189,-0.02220,-0.11307
1784779181.517,-130.323227,-426.073181,62.802,2.828,-0.02449,-0.11242
1784779181.629,-130.299301,-426.029388,62.789,3.147,-0.02677,-0.11205
1784779181.775,-130.243683,-425.927795,62.755,3.786,-0.02956,-0.11129
1784779181.887,-130.211945,-425.870056,62.736,4.105,-0.03028,-0.11085
1784779182.027,-130.140747,-425.740662,62.686,4.742,-0.03056,-0.10992
1784779182.140,-130.101288,-425.668945,62.657,5.060,-0.02878,-0.10933
1784779182.288,-130.014572,-425.511719,62.594,5.696,-0.02796,-0.10822
1784779182.389,-129.967316,-425.426147,62.560,6.013,-0.02845,-0.10767
1784779182.533,-129.865128,-425.241516,62.490,6.627,-0.02661,-0.10668
1784779182.645,-129.810333,-425.142639,62.453,6.920,-0.02632,-0.10621
1784779182.793,-129.693649,-424.932556,62.376,7.479,-0.02395,-0.10544
1784779182.898,-129.631897,-424.821594,62.337,7.747,-0.02200,-0.10514
1784779183.040,-129.501846,-424.588379,62.261,8.257,-0.02007,-0.10474
1784779183.154,-129.433670,-424.466370,62.224,8.500,-0.01810,-0.10466
1784779183.305,-129.291275,-424.212219,62.152,8.964,-0.01576,-0.10480
1784779183.410,-129.217224,-424.080170,62.119,9.186,-0.01475,-0.10494
1784779183.561,-129.063583,-423.806885,62.057,9.609,-0.01153,-0.10556
1784779183.672,-128.984131,-423.665771,62.028,9.811,-0.01075,-0.10598
1784779183.817,-128.820267,-423.375122,61.976,10.196,-0.00830,-0.10704
1784779183.918,-128.735962,-423.225708,61.954,10.379,-0.00719,-0.10764
1784779184.073,-128.562775,-422.919189,61.915,10.729,-0.00509,-0.10909
1784779184.188,-128.474030,-422.762329,61.899,10.896,-0.00479,-0.10993
1784779184.353,-128.292450,-422.441528,61.873,11.209,-0.00306,-0.11172
1784779184.458,-128.199753,-422.277832,61.863,11.358,-0.00230,-0.11267
1784779184.609,-128.010696,-421.944153,61.847,11.645,-0.00164,-0.11469
1784779184.719,-127.914391,-421.774292,61.841,11.782,-0.00100,-0.11577
1784779184.849,-127.718445,-421.428741,61.832,12.044,-0.00060,-0.11801
1784779185.002,-127.518280,-421.075928,61.826,12.290,0.00036,-0.12038
1784779185.154,-127.314194,-420.716125,61.825,12.522,0.00110,-0.12276
1784779185.304,-127.106392,-420.349823,61.825,12.741,0.00119,-0.12521
1784779185.459,-126.895142,-419.977356,61.829,12.948,0.00186,-0.12766
1784779185.613,-126.680710,-419.598907,61.832,13.142,0.00253,-0.12998
1784779185.761,-126.463203,-419.215088,61.840,13.324,0.00179,-0.13283
1784779185.920,-126.242844,-418.826111,61.851,13.495,0.00228,-0.13640
1784779186.078,-126.019821,-418.432312,61.860,13.656,0.00279,-0.14042
1784779186.236,-125.794266,-418.033936,61.870,13.808,0.00247,-0.14444
1784779186.400,-125.566360,-417.631226,61.883,13.951,0.00210,-0.14842
1784779186.564,-125.336304,-417.224487,61.895,14.085,0.00248,-0.15232
1784779186.723,-125.104156,-416.813812,61.906,14.214,0.00288,-0.15615
1784779186.885,-124.870079,-416.399475,61.917,14.335,0.00181,-0.15988
1784779187.049,-124.634171,-415.981781,61.931,14.448,0.00213,-0.16356
1784779187.207,-124.396591,-415.560760,61.941,14.554,0.00183,-0.16690
1784779187.369,-124.157379,-415.136719,61.950,14.654,0.00225,-0.16999
1784779187.533,-123.917137,-414.710724,61.961,14.683,0.00273,-0.17299
1784779187.689,-123.676735,-414.284119,61.972,14.699,0.00253,-0.17583
1784779187.852,-123.436142,-413.857056,61.987,14.715,0.00295,-0.17861
1784779188.014,-123.195343,-413.429413,62.000,14.731,0.00268,-0.18129
1784779188.174,-122.954369,-413.001251,62.015,14.749,0.00308,-0.18388
1784779188.275,-122.833801,-412.786987,62.022,14.757,0.00330,-0.18515
1784779188.413,-122.592484,-412.357971,62.036,14.777,0.00296,-0.18762
1784779188.524,-122.471756,-412.143219,62.044,14.786,0.00313,-0.18878
1784779188.660,-122.230255,-411.713226,62.060,14.805,0.00271,-0.19054
1784779188.824,-121.988586,-411.282623,62.075,14.823,0.00297,-0.19166
1784779188.987,-121.746712,-410.851440,62.091,14.842,0.00240,-0.19252
1784779189.145,-121.504578,-410.419617,62.106,14.862,0.00184,-0.19330
1784779189.248,-121.383408,-410.203461,62.114,14.872,0.00193,-0.19366
1784779189.385,-121.140877,-409.770660,62.126,14.893,0.00144,-0.19431
1784779189.495,-121.019516,-409.554016,62.131,14.904,0.00158,-0.19460
